"","ensembl_gene_id","entrezgene_id"
"210","ENSMUSG00000001157",23885
"211","ENSMUSG00000001158",66618
"212","ENSMUSG00000001166",114643
"213","ENSMUSG00000001168",246729
"214","ENSMUSG00000001173",320634
"215","ENSMUSG00000001175",12313
"216","ENSMUSG00000001211",28169
"217","ENSMUSG00000001225",13487
"218","ENSMUSG00000001227",20359
"219","ENSMUSG00000001228",18140
"220","ENSMUSG00000001229",224897
"221","ENSMUSG00000001240",54409
"222","ENSMUSG00000001247",54135
"223","ENSMUSG00000001248",52857
"224","ENSMUSG00000001249",15451
"225","ENSMUSG00000001260",14405
"226","ENSMUSG00000001270",12709
"227","ENSMUSG00000001280",20683
"228","ENSMUSG00000001281",16421
"229","ENSMUSG00000001285",60315
"230","ENSMUSG00000001288",19411
"231","ENSMUSG00000001289",56612
"232","ENSMUSG00000001300",13642
"233","ENSMUSG00000001305",67223
"234","ENSMUSG00000001313",11858
"235","ENSMUSG00000001323",27364
"236","ENSMUSG00000001333",68828
"237","ENSMUSG00000001334",384061
"238","ENSMUSG00000001348",11433
"239","ENSMUSG00000001349",12797
"240","ENSMUSG00000001366",71538
"241","ENSMUSG00000001376",73288
"242","ENSMUSG00000001380",15115
"243","ENSMUSG00000001383",66492
"244","ENSMUSG00000001403",68612
"245","ENSMUSG00000001415",229512
"246","ENSMUSG00000001416",12462
"247","ENSMUSG00000001418",56700
"248","ENSMUSG00000001419",17261
"249","ENSMUSG00000001420",71913
"250","ENSMUSG00000001424",56463
"251","ENSMUSG00000001435",12822
"252","ENSMUSG00000001436",20509
"253","ENSMUSG00000001440",16211
"254","ENSMUSG00000001441",19155
"255","ENSMUSG00000001444",57765
"256","ENSMUSG00000001445",107732
"257","ENSMUSG00000001467",13121
"258","ENSMUSG00000001472",66855
"259","ENSMUSG00000001473",67951
"260","ENSMUSG00000001482",23854
"261","ENSMUSG00000001493",17285
"262","ENSMUSG00000001494",74499
"263","ENSMUSG00000001496",21869
"264","ENSMUSG00000001497",18511
"265","ENSMUSG00000001504",16372
"266","ENSMUSG00000001506",12842
"267","ENSMUSG00000001507",16400
"268","ENSMUSG00000001508",20391
"269","ENSMUSG00000001510",13393
"270","ENSMUSG00000001517",14235
"271","ENSMUSG00000001518",101142
"272","ENSMUSG00000001520",60345
"273","ENSMUSG00000001521",22158
"274","ENSMUSG00000001524",14885
"275","ENSMUSG00000001525",22154
"276","ENSMUSG00000001542",192657
"277","ENSMUSG00000001552",16480
"278","ENSMUSG00000001555",14230
"279","ENSMUSG00000001558",66720
"280","ENSMUSG00000001566",15285
"281","ENSMUSG00000001569",433864
"282","ENSMUSG00000001576",67458
"283","ENSMUSG00000001583",83813
"284","ENSMUSG00000001588",216859
"285","ENSMUSG00000001604",21401
"286","ENSMUSG00000001622",12994
"287","ENSMUSG00000001627",15982
"288","ENSMUSG00000001630",232533
"289","ENSMUSG00000001632",78783
"290","ENSMUSG00000001642",11677
"291","ENSMUSG00000001655",15422
"292","ENSMUSG00000001656",109663
"293","ENSMUSG00000001657",15426
"294","ENSMUSG00000001661",15425
"295","ENSMUSG00000001663",14871
"296","ENSMUSG00000001665",103140
"297","ENSMUSG00000001666",13202
"298","ENSMUSG00000001670",234724
"299","ENSMUSG00000001672",73608
"300","ENSMUSG00000001674",66942
"301","ENSMUSG00000001687",24109
"302","ENSMUSG00000001700",107022
"303","ENSMUSG00000001707",66143
"304","ENSMUSG00000001729",11651
"305","ENSMUSG00000001739",60363
"306","ENSMUSG00000001741",16170
"307","ENSMUSG00000001750",27060
"308","ENSMUSG00000001751",27419
"309","ENSMUSG00000001755",71743
"310","ENSMUSG00000001761",319757
"311","ENSMUSG00000001763",232670
"312","ENSMUSG00000001767",66877
"313","ENSMUSG00000001768",74030
"314","ENSMUSG00000001768",408057
"315","ENSMUSG00000001773",53320
"316","ENSMUSG00000001774",66917
