"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSSSCG00000000120",217.404496024891,0.0377072244963932,0.277496492405862,0.859394786988915,0.943336856148102
"ENSSSCG00000000121",41.2205935145458,0.393198513692729,0.513673761926348,0.0993214852995744,0.317912639348249
"ENSSSCG00000000130",68.9330573696162,-0.639810708916607,0.511507701315639,0.036536229520452,0.180488396620427
"ENSSSCG00000000131",20.7710844637778,0.145168890475463,0.415582378243093,0.362759054786375,0.637566125786851
"ENSSSCG00000000132",0,NA,NA,NA,NA
"ENSSSCG00000000133",2882.83053255714,-0.495127541840775,0.311906549869194,0.0397693333681063,0.189916607356917
"ENSSSCG00000000135",405.628693105139,-0.17700910505148,0.302290311341995,0.416269952683687,0.680571257250934
"ENSSSCG00000000136",35.1339429135754,0.0433627101834374,0.329927663594781,0.835118134952191,0.932904614284836
"ENSSSCG00000000137",153.201459962098,-0.342053642717398,0.374463083680161,0.159840543508846,0.418599325433341
"ENSSSCG00000000138",428.370093337544,-0.515228361528716,0.466411139346311,0.0634493307015548,0.246912729383142
"ENSSSCG00000000139",253.762856970847,0.0492048222118769,0.278918877258627,0.816669020975606,0.923663679029889
"ENSSSCG00000000141",4204.17743446541,-0.00112714810881011,0.235358138199533,0.990820404499,0.997289362220979
"ENSSSCG00000000142",159.697777452372,-0.118931794189496,0.273105487404784,0.568801343116469,0.790307717459596
"ENSSSCG00000000144",1772.14386994912,0.0338133555477859,0.244746621688854,0.893216817768986,0.958412541330947
"ENSSSCG00000000145",11343.6288827626,0.342325179375735,0.234878482950786,0.0818747396958196,0.28674686192864
"ENSSSCG00000000146",1526.25071085294,0.698609144382908,0.442290089861343,0.0169426885896434,0.114414471163633
"ENSSSCG00000000148",9.25832118945172,-0.0912971712134736,0.400162327247989,0.544199508231315,0.773663811194932
"ENSSSCG00000000151",0,NA,NA,NA,NA
"ENSSSCG00000000152",591.754768840885,0.263359366976416,0.238903754121522,0.183492568705247,0.451031350939905
"ENSSSCG00000000156",775.566353611982,0.458846183449438,0.2648384242048,0.0325407959334512,0.168704662693014
