"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSSSCG00000005215",528.308862535398,1.27921034849797,0.463403989928615,0.000361901623410276,0.00848582233759776
"ENSSSCG00000005243",63.0249795987507,3.01917926996728,0.834270805182267,8.37828721204375e-06,0.000497680766084693
"ENSSSCG00000005385",51.1549160394027,1.9043719535667,0.688560938161451,0.000217353665457025,0.00599145014071798
"ENSSSCG00000005437",351.556704324808,3.24985702562472,0.476842411472603,3.00928607702975e-13,4.75191348946973e-10
"ENSSSCG00000005494",955.924132586715,2.63940302844359,0.409134377912253,4.08817275389435e-12,3.36812110928452e-09
"ENSSSCG00000005498",52.8183511857299,2.08001105195114,0.939551686982729,0.000697060557320654,0.013512217105912
"ENSSSCG00000005636",567.047463719069,1.61555729864349,0.335975219077926,8.69893990119609e-08,1.37363510156471e-05
"ENSSSCG00000005699",371.585496326047,2.29244745632997,0.421732856395114,2.42346412941337e-09,6.75326791003734e-07
"ENSSSCG00000005946",593.433171368371,1.47715959447565,0.335408863577193,6.41866375918386e-07,6.61017715069429e-05
"ENSSSCG00000005948",12.9154770416693,4.04101997389936,1.62915311303276,0.000710738237862098,0.0137441176988505
"ENSSSCG00000005949",86.2050995552005,1.75437259077965,0.516971965201509,3.28381639451838e-05,0.00142753495425218
"ENSSSCG00000005961",15.1585131913931,7.15737665998834,2.87981905350744,1.04978579231431e-05,0.000593802715778028
"ENSSSCG00000005970",339.317302767842,1.47067342655393,0.423954285813197,3.05802147796273e-05,0.00135388899499803
"ENSSSCG00000006001",892.577672991719,1.07123260136831,0.400559530169231,0.000643963579021733,0.0129537854128268
"ENSSSCG00000006082",522.62283207181,1.07342022136955,0.359350043031275,0.00026874761375069,0.00697602538761893
"ENSSSCG00000006120",1073.63556495153,1.11685361695601,0.375617973444817,0.000250218488691436,0.00661281749262765
"ENSSSCG00000006243",18.8777795555518,5.52988647080238,1.68250796166222,2.9098307316261e-05,0.00129737370667254
"ENSSSCG00000006290",268.617027047212,1.18812025658235,0.409421385293174,0.000286092863136715,0.00723643226355579
"ENSSSCG00000006525",1075.36517153104,1.23330308326256,0.426221081364377,0.000264720795048763,0.00688092502795474
"ENSSSCG00000006561",577.435298895394,1.06028936644559,0.440163970671761,0.00131176797310308,0.0211700717884115
"ENSSSCG00000006738",175.132658666163,1.0186391653539,0.544676645173394,0.00444833236002432,0.0480068311737605
"ENSSSCG00000006743",51.6491662334759,1.6420932278704,0.598877057637587,0.000276966220894257,0.00708263551919741
"ENSSSCG00000006758",137.558575314013,1.10388444176932,0.540552430413513,0.00275770564690966,0.0351181211715667
"ENSSSCG00000006870",413.935235369259,1.82584245898227,0.410684141703955,4.62992777829885e-07,5.13055564157806e-05
"ENSSSCG00000006940",2839.14187234358,1.95311295504656,0.508987065537852,5.19880230210972e-06,0.000342055919523184
"ENSSSCG00000006987",433.131389506106,1.08881453005765,0.583680145834361,0.0038273593761388,0.043401934660954
"ENSSSCG00000006988",205.077761822164,1.16627037917643,0.358981470410466,9.64134305877822e-05,0.00332170562946888
"ENSSSCG00000007023",35.8739512575715,1.86429834162796,1.05711902349168,0.00186775246442307,0.0268325915973714
"ENSSSCG00000007032",1373.61929419586,1.13710342345686,0.344285242981184,8.31717948584956e-05,0.00298756531122058
"ENSSSCG00000007084",109.492653338665,1.89289946154631,0.564457581830286,3.32701068732093e-05,0.00143934989758092
"ENSSSCG00000007198",176.938133328141,1.08582208909243,0.402473400845985,0.000581589861967728,0.0120706969270827
"ENSSSCG00000007324",99.3303246226948,1.47716329057388,0.54697929441394,0.000352445967576646,0.00834812329951233
"ENSSSCG00000007430",37.7395983517058,2.7495674753786,0.761321904521522,1.14820776420747e-05,0.000634326207695841
"ENSSSCG00000007552",232.175185726979,2.21032126783099,0.446439591776098,3.17081641847022e-08,5.94889112015764e-06
"ENSSSCG00000007554",243.490005168879,1.02608661217846,0.50979673745208,0.00334987014994445,0.0397723618241211
"ENSSSCG00000007705",444.629118652714,1.07572113360783,0.354377822059257,0.00023117080864353,0.0062547272631588
"ENSSSCG00000007718",3860.31944492752,1.17576468438635,0.544289562826377,0.00186740725984185,0.0268325915973714
"ENSSSCG00000007978",16023.1896331334,1.84763553616048,0.471439086772349,5.36346044809614e-06,0.000350455903555082
"ENSSSCG00000008073",397.607326396237,1.27865675041502,0.411899081989272,0.000131442577969869,0.00419310675075936
"ENSSSCG00000008187",102.362889831486,1.20465821528625,0.459705402239925,0.000609850325302287,0.012523070626242
"ENSSSCG00000008318",30.7800905123067,2.50833700527825,0.922314757848921,0.000197276133575265,0.00557938127629506
"ENSSSCG00000008443",4152.55286039676,1.09496262519934,0.364376744308885,0.000234071405336104,0.00630867233488387
"ENSSSCG00000008451",422.539581125189,1.33533378738032,0.274981606889065,9.48794169637388e-08,1.46574433291143e-05
"ENSSSCG00000008602",3333.76531305028,1.03490501603731,0.316166498667732,0.000113124514185043,0.00380745367547493
"ENSSSCG00000008772",368.001053289464,1.31947665210437,0.373030696754729,2.93789426310257e-05,0.00130681122984814
"ENSSSCG00000008820",319.604477889558,1.49759135536232,0.542135855673778,0.000286799336636783,0.00723643226355579
"ENSSSCG00000008853",13.6211034945966,2.13294027198436,1.81339307223495,0.00350160499324851,0.0408080982373629
"ENSSSCG00000008898",215.243997063497,1.40539352503188,0.346232128248087,3.37653047799944e-06,0.000241441041613628
"ENSSSCG00000009128",211.956665800805,1.13299114741959,0.47636582328302,0.00126928463698316,0.0206452142370763
