"","X","entrezgene_id","ensembl_gene_id","mouse_ensembl_gene_id","LFC"
"41",41,3700,"ENSG00000055955","ENSMUSG00000021922",5.68066986276685
"42",42,64063,"ENSG00000005001","ENSMUSG00000045027",5.68057540661194
"43",43,1917,"ENSG00000101210","ENSMUSG00000016349",5.64237064663588
"44",44,718,"ENSG00000125730","ENSMUSG00000024164",5.61849128105539
"45",45,28965,"ENSG00000113396","ENSMUSG00000024600",5.61720646209226
"46",46,3859,"ENSG00000187242","ENSMUSG00000020912",5.61202843887136
"47",47,64231,"ENSG00000110077","ENSMUSG00000024679",5.60559958833924
"48",48,3604,"ENSG00000049249","ENSMUSG00000028965",5.57908019348171
"49",49,113457,"ENSG00000075886","ENSMUSG00000067702",5.53033938924025
"50",50,4069,"ENSG00000090382","ENSMUSG00000069516",5.52817180755685
"51",51,1475,"ENSG00000121552","ENSMUSG00000071561",5.51851877126323
"52",52,27063,"ENSG00000148677","ENSMUSG00000024803",5.50293516665208
"53",53,6347,"ENSG00000108691","ENSMUSG00000035385",5.49282583670741
"54",54,8809,"ENSG00000115604","ENSMUSG00000026070",5.48895709119119
"55",55,5272,"ENSG00000170542","ENSMUSG00000021403",5.48241589161807
"56",56,51156,"ENSG00000140093","ENSMUSG00000061947",5.47340996275017
"57",57,12,"ENSG00000196136","ENSMUSG00000079014",5.47032279896883
"58",58,10232,"ENSG00000102854","ENSMUSG00000063011",5.44851558299079
"59",59,1230,"ENSG00000163823","ENSMUSG00000025804",5.42709682331044
"60",60,51338,"ENSG00000110079","ENSMUSG00000101389",5.41785765630646
"61",61,51311,"ENSG00000101916","ENSMUSG00000040522",5.41111679612546
"62",62,4314,"ENSG00000149968","ENSMUSG00000043613",5.3507776764101
"63",63,6004,"ENSG00000143333","ENSMUSG00000026475",5.33302420748239
"64",64,1437,"ENSG00000164400","ENSMUSG00000018916",5.33218328609811
"65",65,8685,"ENSG00000019169","ENSMUSG00000026390",5.31548024328719
"66",66,922,"ENSG00000073754","ENSMUSG00000015854",5.3151758400032
"67",67,79007,"ENSG00000003249","ENSMUSG00000031970",5.29101576821367
"68",68,6355,"ENSG00000108700","ENSMUSG00000035352",5.27433958620856
"69",69,8456,"ENSG00000109101","ENSMUSG00000002057",5.2572199825246
"70",70,6403,"ENSG00000174175","ENSMUSG00000026580",5.25404881574867
"71",71,9468,"ENSG00000102230","ENSMUSG00000035246",5.22923857446695
"72",72,10381,"ENSG00000258947","ENSMUSG00000062380",5.21291482497731
"73",73,11061,"ENSG00000136110","ENSMUSG00000022025",5.18413623848753
"74",74,2302,"ENSG00000129654","ENSMUSG00000034227",5.16129962513274
"75",75,57402,"ENSG00000189334","ENSMUSG00000042306",5.15559183744956
"76",76,9244,"ENSG00000006016","ENSMUSG00000007888",5.14783194393098
"77",77,1015,"ENSG00000079112","ENSMUSG00000028217",5.14411943502464
"78",78,4948,"ENSG00000104044","ENSMUSG00000030450",5.13575048477863
"79",79,8061,"ENSG00000175592","ENSMUSG00000024912",5.13113475247244
"80",80,6368,"ENSG00000274736","ENSMUSG00000019122",5.11726273961745
"81",81,11326,"ENSG00000155659","ENSMUSG00000044206",5.11546487915771
"82",82,374,"ENSG00000109321","ENSMUSG00000029378",5.08198168010514
"83",83,6923,"ENSG00000103363","ENSMUSG00000057534",5.07569055503682
"84",84,27159,"ENSG00000134216","ENSMUSG00000040809",5.06431260577378
"85",85,10170,"ENSG00000073737","ENSMUSG00000027068",5.04891702297403
"86",86,3684,"ENSG00000169896","ENSMUSG00000030786",5.04176744161605
"87",87,26585,"ENSG00000166923","ENSMUSG00000074934",5.03925100589104
"88",88,2209,"ENSG00000150337","ENSMUSG00000015947",5.01324294251609
"89",89,9990,"ENSG00000140199","ENSMUSG00000096764",5.01064099747625
"90",90,945,"ENSG00000105383","ENSMUSG00000039013",4.98604742068976
"91",91,946,"ENSG00000105492","ENSMUSG00000039013",4.98604742068976
"92",92,873,"ENSG00000159228","ENSMUSG00000082815",4.9634688189933
"93",93,3820,"ENSG00000111796","ENSMUSG00000079298",4.91324581451951
"94",94,30835,"ENSG00000090659","ENSMUSG00000031495",4.90963780239812
"95",95,547,"ENSG00000130294","ENSMUSG00000014602",4.90169694621343
"96",96,6354,"ENSG00000108688","ENSMUSG00000035373",4.89930809143732
"97",97,80380,"ENSG00000197646","ENSMUSG00000016498",4.89097321053485
"98",98,1232,"ENSG00000183625","ENSMUSG00000035448",4.88123522550972
"99",99,8832,"ENSG00000066294","ENSMUSG00000038147",4.85176305895762
"100",100,9021,"ENSG00000184557","ENSMUSG00000053113",4.84992385473537
