"","Mouse.gene.stable.ID","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"75","ENSMUSG00000033952",109.785496228454,2.04633996152086,0.352625252024178,3.18800181112706e-10,5.96636252931898e-08
"76","ENSMUSG00000034311",71.838502603731,1.8465510564814,0.327938662465826,8.86997769055818e-10,1.48444193946313e-07
"77","ENSMUSG00000034317",154.768056915116,1.8624144415601,0.285498926320499,3.47463178809766e-12,7.95736398313682e-10
"78","ENSMUSG00000034457",63.7777231018402,1.5729392446574,0.507602577792431,7.12485917577692e-05,0.00244592059081651
"79","ENSMUSG00000034855",163.402257355098,1.18228237095411,0.3042610964266,4.46172448359892e-06,0.000241168678997016
"80","ENSMUSG00000034906",75.7322156885988,1.35413333786327,0.348395341961198,4.45340063021487e-06,0.000241168678997016
"81","ENSMUSG00000035042",41.0381592118149,1.18800109883758,0.648261256082569,0.00169369508957487,0.0289045250349145
"82","ENSMUSG00000035373",44.5360959926658,2.30699271370646,1.32477459226368,0.00146646914607077,0.0260980526455642
"83","ENSMUSG00000035385",108.460221262541,2.55988801431172,0.861320770492368,8.91137627816467e-05,0.0028669594107478
"84","ENSMUSG00000035683",33.3780941411278,1.94033477552475,0.497195686339489,4.28335805703203e-06,0.000234439770385668
"85","ENSMUSG00000036526",36.5990517889758,1.24316588668792,0.644651009709519,0.00142234537940613,0.025495284581425
"86","ENSMUSG00000036768",34.7976597434957,1.4394055596886,0.49295252111733,0.000133403260204692,0.0039826479311538
"87","ENSMUSG00000036777",148.031209954525,1.69074182618221,0.277381521797532,5.39885451161282e-11,1.09264026482117e-08
"88","ENSMUSG00000037466",71.749812887098,1.35451335215361,0.553167390036629,0.000451128913827222,0.0105112433000841
"89","ENSMUSG00000037474",69.8589587390659,1.5473222129453,0.405375949601179,5.62333841768584e-06,0.000292989903687764
"90","ENSMUSG00000037544",47.9519995110137,2.20981742909904,0.486989393341493,2.64567036685219e-07,2.16187289835974e-05
"91","ENSMUSG00000037628",29.4209860257786,2.88943346184433,0.637494313980171,2.94872973032132e-07,2.35424958514874e-05
"92","ENSMUSG00000037725",72.3747230561508,2.45203738714239,0.457011514466668,3.91294153722084e-09,5.5369713378316e-07
"93","ENSMUSG00000038179",102.260026723594,1.19520952965315,0.432612278834425,0.000204489972950517,0.00557307710109828
"94","ENSMUSG00000038379",28.5020916703308,1.95377394562096,0.54372381654915,1.41129566913342e-05,0.000626622477583345
"95","ENSMUSG00000038541",1211.5696094055,1.11241228832715,0.164669875933395,7.53395092881232e-13,1.98679418054513e-10
"96","ENSMUSG00000038943",153.342279932306,2.55312840414521,0.264449768078284,2.71040838094412e-23,3.14497719135549e-20
"97","ENSMUSG00000039187",28.6847335109372,1.55378867811788,0.509580664129321,8.98031057650815e-05,0.00288380637609086
"98","ENSMUSG00000039396",28.0729178809503,2.72546678186754,0.61259073283241,4.33401582082742e-07,3.29404128216163e-05
"99","ENSMUSG00000040084",71.3593321748172,1.63863175470332,0.471394798355904,1.95994167529533e-05,0.000834053419523601
"100","ENSMUSG00000040204",54.1272103836591,1.67697170141716,0.44544276613639,6.92124038666111e-06,0.000343202817463922
"101","ENSMUSG00000041064",13.8098381977007,1.36527701967001,1.04227564303865,0.00361291873434421,0.0499070242629055
"102","ENSMUSG00000041219",239.451648198967,1.27643288265418,0.221179295180949,3.96336728807683e-10,7.26130606831339e-08
"103","ENSMUSG00000041431",91.8585733546507,2.6298469957777,0.343019753304003,1.03093724837541e-15,3.8177580442498e-13
"104","ENSMUSG00000041481",91.7072320939804,1.25391108190983,0.589997922588876,0.000944162600845872,0.0184228139772673
"105","ENSMUSG00000041498",21.677727777341,1.56273611237078,0.760604025123205,0.00110430061838225,0.0207115864902403
