"","Mouse.gene.stable.ID","DownLFC"
"142","ENSMUSG00000024391","-2.48875125396485"
"143","ENSMUSG00000024575","-3.47505540743447"
"144","ENSMUSG00000024650","-2.64078205550839"
"145","ENSMUSG00000024694","-2.03171819525679"
"146","ENSMUSG00000024749","-2.24065782597274"
"147","ENSMUSG00000024757","-3.47080945793257"
"148","ENSMUSG00000024827","-2.14006536585284"
"149","ENSMUSG00000024857","-2.04787844238355"
"150","ENSMUSG00000024866","-2.25634087885197"
"151","ENSMUSG00000024892","-2.20392927413805"
"152","ENSMUSG00000024899","-2.1114735517102"
"153","ENSMUSG00000025059","-2.63611077143927"
"154","ENSMUSG00000025127","-2.58615911975722"
"155","ENSMUSG00000025137","-2.04043665098723"
"156","ENSMUSG00000025197","-2.72055987709971"
"157","ENSMUSG00000025207","-2.34185958162515"
"158","ENSMUSG00000025243","-2.99655938206335"
"159","ENSMUSG00000025317","-2.72755618605799"
"160","ENSMUSG00000025386","-2.29810805180426"
"161","ENSMUSG00000025453","-2.50322590755749"
"162","ENSMUSG00000025482","-2.22931626031967"
"163","ENSMUSG00000025716","-3.82336874843783"
"164","ENSMUSG00000025726","-2.27938914972752"
"165","ENSMUSG00000025732","-2.04013950520272"
"166","ENSMUSG00000025766","-2.07428629407465"
"167","ENSMUSG00000025815","-2.45238062469228"
"168","ENSMUSG00000025900","-2.04763753042545"
"169","ENSMUSG00000025911","-2.51437060136326"
"170","ENSMUSG00000025937","-2.47589241178809"
"171","ENSMUSG00000025963","-2.20726208640484"
"172","ENSMUSG00000026189","-2.38461409124768"
"173","ENSMUSG00000026220","-2.6153824194665"
"174","ENSMUSG00000026295","-2.73653268627143"
"175","ENSMUSG00000026348","-2.62271528226781"
"176","ENSMUSG00000026368","-3.13347177794917"
"177","ENSMUSG00000026415","-3.45769272592595"
"178","ENSMUSG00000026523","-2.21491423346538"
"179","ENSMUSG00000026532","-2.65615910957848"
"180","ENSMUSG00000026567","-2.44783482985357"
