"","Mouse.gene.stable.ID","LFC"
"354","ENSMUSG00000082483","-2.4273041962998"
"355","ENSMUSG00000082516","-2.02194533908924"
"356","ENSMUSG00000082520","-3.36974771843932"
"357","ENSMUSG00000082532","-3.33420231869868"
"358","ENSMUSG00000082678","-2.37250634783841"
"359","ENSMUSG00000082687","-2.0220820121897"
"360","ENSMUSG00000082691","-3.80827467923304"
"361","ENSMUSG00000082711","-3.32406408937904"
"362","ENSMUSG00000082814","-3.51932964697782"
"363","ENSMUSG00000082815","-4.83368370984997"
"364","ENSMUSG00000082926","-3.60859226993584"
"365","ENSMUSG00000082969","-2.30670862185402"
"366","ENSMUSG00000082978","-3.35519325297088"
"367","ENSMUSG00000082990","-2.57384358699787"
"368","ENSMUSG00000083014","-2.64072797653583"
"369","ENSMUSG00000083016","-2.53989083031915"
"370","ENSMUSG00000083038","-3.07355168686761"
"371","ENSMUSG00000083107","-4.48340249118247"
"372","ENSMUSG00000083116","-5.34983914579726"
"373","ENSMUSG00000083190","-5.35661624988141"
"374","ENSMUSG00000083195","-2.36229745773545"
"375","ENSMUSG00000083200","-3.32406822597167"
"376","ENSMUSG00000083253","-2.39098525101748"
"377","ENSMUSG00000083375","-2.87182558905633"
"378","ENSMUSG00000083394","-2.60780446526781"
"379","ENSMUSG00000083411","-6.94284176462715"
"380","ENSMUSG00000083434","-2.38195390374211"
"381","ENSMUSG00000083457","-6.82661285573691"
"382","ENSMUSG00000083478","-11.3251323415055"
"383","ENSMUSG00000083545","-5.36137728660189"
"384","ENSMUSG00000083549","-4.02381780149653"
"385","ENSMUSG00000083623","-4.6065752358531"
"386","ENSMUSG00000083670","-5.39561707598558"
"387","ENSMUSG00000083679","-3.86492122908538"
"388","ENSMUSG00000083689","-2.60778839544599"
"389","ENSMUSG00000083700","-2.74339297592517"
"390","ENSMUSG00000083713","-2.63584210607234"
"391","ENSMUSG00000083750","-2.55611023517136"
"392","ENSMUSG00000083754","-2.44819458557471"
"393","ENSMUSG00000083767","-3.00841482881845"
"394","ENSMUSG00000083832","-2.02629735932654"
"395","ENSMUSG00000083909","-2.24286371910024"
"396","ENSMUSG00000083910","-2.57519809286472"
"397","ENSMUSG00000083953","-2.06120443820903"
"398","ENSMUSG00000083979","-2.983885861147"
"399","ENSMUSG00000083998","-2.55609567762634"
"400","ENSMUSG00000084230","-2.39169726476849"
"401","ENSMUSG00000084323","-2.11174213244232"
"402","ENSMUSG00000084329","-3.8465694085804"
"403","ENSMUSG00000084333","-2.66771770515274"
"404","ENSMUSG00000084348","-2.50824487334261"
"405","ENSMUSG00000084349","-5.32115628013796"
"406","ENSMUSG00000084383","-11.3864441521108"
"407","ENSMUSG00000084477","-2.04575769981037"
"408","ENSMUSG00000084511","-2.069163602088"
"409","ENSMUSG00000084693","-2.57741052167354"
"410","ENSMUSG00000084751","-2.02143887671765"
"411","ENSMUSG00000084760","-2.07177856522615"
"412","ENSMUSG00000084816","-2.33936165186633"
"413","ENSMUSG00000084838","-4.7610803510683"
"414","ENSMUSG00000084855","-2.55608736708879"
"415","ENSMUSG00000084985","-3.00964651345851"
"416","ENSMUSG00000085066","-2.5034102100846"
"417","ENSMUSG00000085081","-2.60725729162407"
"418","ENSMUSG00000085185","-2.11087536157632"
"419","ENSMUSG00000085201","-2.33019328982904"
"420","ENSMUSG00000085251","-3.17693936584256"
"421","ENSMUSG00000085261","-2.35505706206007"
"422","ENSMUSG00000085401","-3.33461126296814"
"423","ENSMUSG00000085440","-3.07353096543585"
"424","ENSMUSG00000085447","-2.06917566962003"
"425","ENSMUSG00000085538","-2.37985199405936"
"426","ENSMUSG00000085560","-2.99710926222233"
"427","ENSMUSG00000085562","-2.07339974514972"
"428","ENSMUSG00000085637","-2.84630353638923"
"429","ENSMUSG00000085725","-2.04782979950824"
"430","ENSMUSG00000085761","-3.58203548680478"
"431","ENSMUSG00000085779","-2.45628118185037"
"432","ENSMUSG00000085800","-2.55608736708879"
"433","ENSMUSG00000085876","-2.04576454147028"
"434","ENSMUSG00000085885","-2.04577324394923"
"435","ENSMUSG00000085897","-3.34274254812972"
"436","ENSMUSG00000085910","-2.36272129660066"
"437","ENSMUSG00000085927","-3.83108503633622"
"438","ENSMUSG00000086095","-3.56002180201201"
"439","ENSMUSG00000086173","-3.23666538638717"
"440","ENSMUSG00000086340","-2.3461800415175"
"441","ENSMUSG00000086395","-2.99685710028959"
"442","ENSMUSG00000086436","-2.79326005769772"
"443","ENSMUSG00000086451","-2.91718675825262"
"444","ENSMUSG00000086475","-2.64072797653583"
"445","ENSMUSG00000086486","-2.53889165704866"
"446","ENSMUSG00000086565","-2.04576754289311"
"447","ENSMUSG00000086631","-3.32407138171724"
"448","ENSMUSG00000086671","-4.00868235538435"
"449","ENSMUSG00000086686","-2.62408735358018"
"450","ENSMUSG00000086711","-2.16561360836601"
"451","ENSMUSG00000086735","-3.35358161030376"
"452","ENSMUSG00000086741","-3.01860198999428"
"453","ENSMUSG00000086779","-2.14054366270121"
"454","ENSMUSG00000086827","-3.04213882830651"
"455","ENSMUSG00000086866","-2.97353408732135"
"456","ENSMUSG00000086900","-4.01550193224697"
